number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
75165-1,Star Wars,Rogue One,2017,Imperial Trooper Battle Pack,4,112,19.1008,14.097,4.5974,1/1/17,31/12/2017
75148-1,Star Wars,The Force Awakens,2016,Encounter on Jakku,4,530,38.2016,26.2128,5.6388,1/6/16,31/12/2017
9491-1,Star Wars,The Clone Wars,2012,Geonosian Cannon,4,132,26.2,19.1,4.6,1/1/12,31/12/2013
75091-1,Star Wars,Episode I,2015,Flash Speeder,5,312,35.4076,19.1008,5.8928,1/6/15,31/12/2016
75089-1,Star Wars,Legends,2015,Geonosis Troopers,4,105,19.1008,14.097,4.5974,1/1/15,31/12/2016
75301-1,Star Wars,Episode IV,2021,Luke Skywalker's X-wing Fighter,4,474,38.2,26.2,7.1,1/1/21,31/12/2023
75168-1,Star Wars,The Clone Wars,2017,Yoda's Jedi Starfighter,2,262,26.2128,19.1008,6.096,1/1/17,31/12/2018
75139-1,Star Wars,The Force Awakens,2016,Battle on Takodana,5,409,38.2016,26.2128,5.6388,1/1/16,31/12/2017
75254-1,Star Wars,The Mandalorian,2019,AT-ST Raider,4,540,26.2,38.2,7.1,4/10/19,31/12/2021
8085-1,Star Wars,The Clone Wars,2010,Freeco Speeder,2,177,28.19,26.19,6.4,1/1/10,31/12/2011
75312-1,Star Wars,The Mandalorian,2021,Boba Fett's Starship,2,593,28.2,26.2,7.6,1/8/21,31/12/2023
75100-1,Star Wars,The Force Awakens,2015,First Order Snowspeeder,3,444,28.194,26.2128,5.8928,4/9/15,31/12/2016
75334-1,Star Wars,Obi-Wan Kenobi,2022,Obi-Wan Kenobi vs. Darth Vader,4,408,28.2,26.2,7.6,1/8/22,31/07/2024
40333-1,Star Wars,Promotional,2019,Battle of Hoth - 20th Anniversary Edition,,195,26.2,14.1,4.8,1/5/19,31/12/2019
75531-1,Star Wars,Buildable Figures,2017,Stormtrooper Commander,,100,14.097,26.2128,6.096,1/6/17,31/07/2018
75000-1,Star Wars,Episode II,2013,Clone Troopers vs. Droidekas,4,124,15.7,14.1,4.5,1/1/13,31/12/2014
75241-1,Star Wars,Episode V,2019,Action Battle Echo Base Defence,6,504,38.2,26.2,7.1,1/4/19,31/12/2020
66596-1,Star Wars,Product Collection,2018,Super Pack 2-in-1,,201,,,,,
75137-1,Star Wars,Episode V,2016,Carbon-Freezing Chamber,4,231,26.2128,19.1008,6.096,1/1/16,31/12/2017
75522-1,Star Wars,Promotional,2019,Mini Boost Droid Commander,3,62,20,19.5,0.9,1/9/19,31/12/2019
40362-1,Star Wars,Promotional,2019,Battle of Endor,,197,26.2,14.1,4.8,4/10/19,31/12/2019
20007-1,Star Wars,The Clone Wars,2009,Republic Attack Cruiser,,84,,,,,
75537-1,Star Wars,Buildable Figures,2018,Darth Maul,,104,14.1,26.2,6.1,20/04/2018,31/12/2018
75208-1,Star Wars,Episode V,2018,Yoda's Hut,3,229,26.2,19.1,6.1,20/04/2018,31/12/2019
75322-1,Star Wars,Episode V,2022,Hoth AT-ST,4,586,19.1,35.4,7,1/1/22,31/12/2023
66543-1,Star Wars,Product Collection,2016,Microfighters Super Pack 3 in 1,,268,,,,,
66555-1,Star Wars,Product Collection,2017,Super Pack 2 in 1,,232,,,,,
6252812-1,Star Wars,Promotional,2018,Luke Skywalker,,20,,,,,
75081-1,Star Wars,Episode IV,2015,T-16 Skyhopper,2,247,26.1874,19.1008,7.1882,1/1/15,31/12/2015
75305-1,Star Wars,Helmet Collection,2021,Scout Trooper Helmet,,471,19.1,35.4,9.1,26/04/2021,31/12/2022
75107-1,Star Wars,Buildable Figures,2015,Jango Fett,,85,14.097,26.2128,4.8006,4/9/15,31/12/2016
7667-1,Star Wars,Legends,2008,Imperial Dropship,4,81,19.2,14.4,4.8,1/1/08,31/12/2009
75088-1,Star Wars,The Clone Wars,2015,Senate Commando Troopers,4,106,19.1008,14.097,4.5974,1/1/15,31/12/2016
7201-1,Star Wars,Episode VI,2002,Final Duel II,3,23,14.4,14.4,3.9,1/1/02,31/12/2002
75214-1,Star Wars,The Clone Wars,2018,Anakin's Jedi Starfighter,2,247,26.2,19.1,7.2,1/8/18,31/07/2020
6965-1,Star Wars,Mini Building Set,2004,TIE Interceptor,,32,,,,,
75283-1,Star Wars,The Clone Wars,2020,Armored Assault Tank (AAT),4,286,0,0,0,1/8/20,31/12/2022
20018-1,Star Wars,Episode V,2010,AT-AT Walker,,83,,,,,
75262-1,Star Wars,Legends,2019,Imperial Dropship  – 20th Anniversary Edition,5,125,26.2,14.1,4.8,1/4/19,31/12/2019
75215-1,Star Wars,Solo,2018,Cloud-Rider Swoop Bikes,3,355,26.2,19.1,6.1,1/8/18,31/07/2019
75145-1,Star Wars,Original Content,2016,Eclipse Fighter,2,363,35.4076,19.1008,5.8928,1/6/16,31/12/2017
75111-1,Star Wars,Buildable Figures,2015,Darth Vader,,160,19.1008,26.2128,6.096,4/9/15,31/12/2017
75210-1,Star Wars,Solo,2018,Moloch's Landspeeder,2,464,28.2,26.2,7.6,20/04/2018,31/07/2019
40531-1,Star Wars,Promotional,2022,Lars Family Homestead Kitchen,1,195,26.2,14.1,6.1,1/5/22,31/12/2022
8092-1,Star Wars,Episode IV,2010,Luke's Landspeeder,6,163,28.2,26.2,4.6,1/1/10,31/12/2012
75108-1,Star Wars,Buildable Figures,2015,Clone Commander Cody,,82,14.097,26.2128,4.8006,4/9/15,31/12/2016
75184-1,Star Wars,Seasonal,2017,Star Wars Advent Calendar,8,309,38.2016,26.2128,7.0612,1/9/17,31/12/2017
4488-1,Star Wars,Mini Building Set,2003,Millennium Falcon,,87,14.4,14.4,4.4,1/6/03,1/6/04
75258-1,Star Wars,Episode I,2019,Anakin's Podracer – 20th Anniversary Edition,3,279,26.2,19.1,6.1,1/4/19,31/12/2020
75001-1,Star Wars,The Old Republic,2013,Republic Troopers vs. Sith Troopers,4,63,15.7,14.1,4.5,1/1/13,31/12/2014
66597-1,Star Wars,Product Collection,2018,2-in-1 Super Pack,,205,,,,,
75134-1,Star Wars,Battlefront,2016,Galactic Empire Battle Pack,4,109,19.1008,14.097,4.5974,1/1/16,31/12/2016
75281-1,Star Wars,Episode III,2020,Anakin's Jedi Interceptor,2,248,26.2,19.1,6.1,1/8/20,31/12/2021
75229-1,Star Wars,Episode IV,2019,Death Star Escape,4,329,26.2,19.1,7.2,1/1/19,31/12/2019
75307-1,Star Wars,Seasonal,2021,Star Wars Advent Calendar,7,335,38.2,26.2,7.1,1/9/21,31/12/2021
75146-1,Star Wars,Seasonal,2016,Star Wars Advent Calendar,11,282,38.2016,26.2128,7.0612,1/9/16,31/12/2016
9489-1,Star Wars,Episode VI,2012,Endor Rebel Trooper & Imperial Trooper Battle Pack,4,77,19.1,14.1,4.6,1/1/12,31/12/2013
75167-1,Star Wars,Original Content,2017,Bounty Hunter Speeder Bike Battle Pack,4,125,19.1008,14.097,4.5974,1/6/17,31/12/2018
75127-1,Star Wars,Microfighters,2016,The Ghost Microfighter,1,104,14.097,12.192,4.5974,1/1/16,31/12/2016
75319-1,Star Wars,The Mandalorian,2021,The Armorer's Mandalorian Forge,3,258,26.2,19.1,6.1,1/9/21,31/12/2022
9490-1,Star Wars,Episode IV,2012,Droid Escape,4,137,26.2,19.1,4.6,1/1/12,31/12/2013
75250-1,Star Wars,The Rise of Skywalker,2019,Pasaana Speeder Chase,4,373,28.2,26.2,5.9,4/10/19,31/12/2020
75245-1,Star Wars,Seasonal,2019,Star Wars Advent Calendar,9,280,38.2,26.2,7.1,1/9/19,31/12/2019
75529-1,Star Wars,Buildable Figures,2017,Elite Praetorian Guard,,92,14.097,26.2128,6.096,1/9/17,31/07/2018
75200-1,Star Wars,The Last Jedi,2018,Ahch-To Island Training,2,241,26.2,19.1,6.1,1/1/18,31/12/2019
75114-1,Star Wars,Buildable Figures,2016,First Order Stormtrooper,,81,14.097,26.2128,4.8006,1/1/16,31/12/2017
75300-1,Star Wars,Episode IV,2021,Imperial TIE Fighter,3,432,28.2,26.2,7.6,1/1/21,31/12/2023
75206-1,Star Wars,Episode II,2018,Jedi and Clone Troopers Battle Pack,4,102,19.1,14.1,4.6,20/04/2018,31/07/2019
75311-1,Star Wars,The Mandalorian,2021,Imperial Armoured Marauder,4,478,35.4,19.1,7,1/8/21,31/12/2022
5000062-1,Star Wars,Minifig Pack,2012,Darth Maul,1,7,,,,,
75118-1,Star Wars,Buildable Figures,2016,Captain Phasma,,82,14.097,26.2128,6.096,1/1/16,31/12/2017
75228-1,Star Wars,MicroFighters,2019,Escape Pod vs. Dewback Microfighters,3,177,26.2,14.1,4.8,1/1/19,31/12/2019
75213-1,Star Wars,Seasonal,2018,Star Wars Advent Calendar,8,307,38.2,26.2,7.1,1/9/18,31/12/2018
20009-1,Star Wars,The Clone Wars,2009,AT-TE Walker,,94,,,,,
75120-1,Star Wars,Buildable Figures,2016,K-2SO,,169,14.097,26.2128,6.096,30/09/2016,31/12/2017
75270-1,Star Wars,Episode IV,2020,Obi-Wan's Hut,4,200,26.2,19.1,6.1,1/1/20,31/12/2021
9676-1,Star Wars,Planet Set,2012,TIE Interceptor & Death Star,1,65,14.1,19.1,8.79,1/1/12,31/12/2012
75136-1,Star Wars,Episode IV,2016,Droid Escape Pod,4,197,26.2128,19.1008,4.5974,1/1/16,31/12/2016
75340-1,Star Wars,Seasonal,2022,Star Wars Advent Calendar,8,329,38.2,26.2,7.1,1/9/22,31/12/2022
75248-1,Star Wars,The Rise of Skywalker,2019,Resistance A-wing Starfighter,2,269,26.2,19.1,7.2,4/10/19,31/12/2020
75530-1,Star Wars,Buildable Figures,2017,Chewbacca,,179,19.1008,26.2128,6.096,1/9/17,31/12/2018
7111-1,Star Wars,Episode I,1999,Droid Fighter,,62,14.4,9.6,6,17/05/1999,31/12/2000
75109-1,Star Wars,Buildable Figures,2015,Obi-Wan Kenobi,,83,14.097,26.2128,6.096,4/9/15,31/12/2016
75209-1,Star Wars,Solo,2018,Han Solo's Landspeeder,2,345,26.2,19.1,6.1,20/04/2018,31/07/2019
4490-1,Star Wars,Mini Building Set,2003,Republic Gunship,,102,14.4,14.4,4.4,1/6/03,1/6/04
75078-1,Star Wars,Rebels,2015,Imperial Troop Transport,4,141,19.1008,14.097,4.5974,1/1/15,31/12/2016
75271-1,Star Wars,Episode IV,2020,Luke Skywalker's Landspeeder,3,236,26.2,19.1,6.1,1/1/20,31/12/2021
75269-1,Star Wars,Episode III,2020,Duel on Mustafar ,2,208,26.2,14.1,6.1,1/1/20,31/07/2021
TANTIVEIV-1,Star Wars,Promotional,2019,Tantive IV,,56,,,,,
4489-1,Star Wars,Mini Building Set,2003,AT-AT,,98,14.4,14.4,4.4,1/6/03,1/6/04
6252811-1,Star Wars,Promotional,2018,Obi-Wan Kenobi,,18,,,,,
11905-1,Star Wars,The Clone Wars,2013,Brickmaster Star Wars: Battle for the Stolen Crystals parts,2,189,,,,,
75280-1,Star Wars,The Clone Wars,2020,501st Legion Clone Troopers,6,285,26.2,19.1,6.1,1/8/20,31/12/2022
5001709-1,Star Wars,Episode II,2013,Clone Trooper Lieutenant,1,5,,,,,
40407-1,Star Wars,Promotional,2020,Death Star II Battle,,235,26.2,14.1,4.8,1/5/20,31/12/2020
8015-1,Star Wars,The Clone Wars,2009,Assassin Droids Battle Pack,5,94,19.1,14.1,4.6,1/1/09,31/12/2010
75076-1,Star Wars,Microfighters,2015,Republic Gunship Microfighter,1,105,14.097,12.192,4.5974,1/1/15,31/12/2015
75133-1,Star Wars,Battlefront,2016,Rebel Alliance Battle Pack,4,101,19.1008,14.097,4.5974,1/1/16,31/12/2016
75526-1,Star Wars,Buildable Figures,2017,Elite TIE Fighter Pilot,,94,14.097,26.2128,6.096,1/9/17,31/12/2018
75176-1,Star Wars,The Last Jedi,2017,Resistance Transport Pod,3,294,35.4076,19.1008,5.8928,1/9/17,31/12/2018
20010-1,Star Wars,The Clone Wars,2009,Republic Gunship,,94,,,,,
75117-1,Star Wars,Buildable Figures,2016,Kylo Ren,,86,14.097,26.2128,6.096,1/1/16,31/07/2018
75173-1,Star Wars,Episode IV,2017,Luke's Landspeeder,4,149,26.2,14.1,6.1,1/1/17,31/12/2018
75226-1,Star Wars,Battlefront,2019,Inferno Squad Battle Pack,4,118,19.1,14.1,4.6,1/1/19,31/12/2019
75007-1,Star Wars,Planet Set,2013,Republic Assault Ship & Planet Coruscant,1,74,14.1,19.1,8.8,1/1/13,31/12/2013
75333-1,Star Wars,Episode II,2022,Obi-Wan Kenobi's Jedi Starfighter,3,282,26.2,19.1,6.1,1/8/22,31/07/2024
75099-1,Star Wars,The Force Awakens,2015,Rey's Speeder,2,193,26.2128,14.097,4.8006,4/9/15,31/12/2017
75523-1,Star Wars,Buildable Figures,2017,Scarif Stormtrooper,,89,14.097,26.2128,6.096,1/1/17,31/12/2017
75079-1,Star Wars,Battlefront,2015,Shadow Troopers,4,95,19.1008,14.097,4.5974,1/1/15,31/12/2016
4487-1,Star Wars,Mini Building Set,2003,Jedi Starfighter & Slave I,,53,11,14.4,4.4,1/1/03,31/12/2003
75072-1,Star Wars,Microfighters,2015,ARC-170 Starfighter Microfighter,1,95,14.097,12.192,4.5974,1/1/15,31/12/2015
75235-1,Star Wars,Episode IV,2019,X-wing Starfighter Trench Run,3,132,26.2,19.1,6.1,1/1/19,31/12/2020
75237-1,Star Wars,Episode IV,2019,TIE Fighter Attack,2,77,26.2,14.1,6.1,1/1/19,31/07/2020
75110-1,Star Wars,Buildable Figures,2015,Luke Skywalker,,83,14.097,26.2128,4.8006,4/9/15,31/12/2016
75164-1,Star Wars,Rogue One,2017,Rebel Trooper Battle Pack,4,120,19.1008,14.097,4.5974,1/1/17,31/12/2017
75324-1,Star Wars,The Mandalorian,2022,Dark Trooper Attack,4,166,26.2,19.1,4.6,1/3/22,31/12/2023
75121-1,Star Wars,Buildable Figures,2016,Imperial Death Trooper,,106,14.097,26.2128,6.096,30/09/2016,31/12/2017
40451-1,Star Wars,Promotional,2021,Tatooine Homestead,,217,26.2,14.1,4.8,1/5/21,31/12/2021
75010-1,Star Wars,Planet Set,2013,B-Wing Starfighter & Planet Endor,1,83,14.1,19.1,8.8,1/1/13,31/12/2013
75236-1,Star Wars,The Force Awakens,2019,Duel on Starkiller Base,2,191,26.2,14.1,6.1,1/4/19,31/07/2020
8084-1,Star Wars,Episode V,2010,Snowtrooper Battle Pack,4,74,19.1,14.1,4.6,1/1/10,31/12/2011
4495-1,Star Wars,Mini Building Set,2004,AT-TE,,63,14.4,14.4,4.4,1/1/04,31/12/2004
40558-1,Star Wars,Episode II,2022,Clone Trooper Command Station,3,66,25,15,3.2,1/1/22,31/12/2022
75299-1,Star Wars,The Mandalorian,2021,Trouble on Tatooine,3,276,26.2,19.1,4.6,1/1/21,31/12/2022
75073-1,Star Wars,Microfighters,2015,Vulture Droid Microfighter,1,77,14.097,12.192,4.5974,1/1/15,31/12/2015
75008-1,Star Wars,Planet Set,2013,TIE Bomber & Asteroid Field,1,60,14.1,19.1,8.8,1/1/13,31/12/2013
8083-1,Star Wars,Episode V,2010,Rebel Trooper Battle Pack,4,79,19.1,14.1,4.6,1/1/10,31/12/2011
75006-1,Star Wars,Planet Set,2013,Jedi Starfighter & Planet Kamino,1,61,14.1,19.1,8.8,1/1/13,31/12/2013
30052-1,Star Wars,Episode I,2011,AAT,,46,,,,,
75034-1,Star Wars,Episode IV,2014,Death Star Troopers,4,102,19.1008,14.097,4.5974,1/1/14,31/07/2015
75238-1,Star Wars,Episode VI,2019,Action Battle Endor Assault,2,193,26.2,19.1,6.1,1/4/19,31/07/2020
9677-1,Star Wars,Planet Set,2012,X-wing Starfighter & Yavin 4,1,77,14.1,19.1,8.8,1/6/12,31/07/2013
75332-1,Star Wars,Episode VI,2022,AT-ST,3,87,20.5,19.1,6.1,1/8/22,31/12/2023
75077-1,Star Wars,Microfighters,2015,Homing Spider Droid Microfighter,1,102,14.097,12.192,4.5974,1/1/15,31/12/2015
75207-1,Star Wars,Solo,2018,Imperial Patrol Battle Pack,4,99,19.1,14.1,4.6,20/04/2018,31/12/2018
75225-1,Star Wars,The Last Jedi,2019,Elite Praetorian Guard Battle Pack,5,109,19.1,14.1,4.6,1/1/19,31/12/2019
20019-1,Star Wars,Episode V,2011,Slave I,,76,,,,,
75198-1,Star Wars,Episode IV,2018,Tatooine Battle Pack,4,97,19.1,14.1,4.6,1/1/18,31/12/2018
5005376-1,Star Wars,Promotional,2018,Star Wars Anniversary Pod,1,37,,,,,
30006-1,Star Wars,The Clone Wars,2009,Clone Walker,1,31,,,,,
75032-1,Star Wars,Microfighters,2014,X-wing Fighter Microfighter,1,97,14.097,12.192,4.5974,1/1/14,31/07/2015
75166-1,Star Wars,The Force Awakens,2017,First Order Transport Speeder Battle Pack,4,117,19.1008,14.097,4.5974,1/6/17,31/12/2018
40557-1,Star Wars,Episode V,2022,Defence of Hoth,3,64,25,15,3.2,1/1/22,31/12/2022
4492-1,Star Wars,Mini Building Set,2004,Star Destroyer,,87,14.4,14.4,4.4,1/1/04,31/12/2004
75196-1,Star Wars,MicroFighters,2018,A-Wing vs. TIE Silencer Microfighters,2,188,26.2,14.1,4.8,1/1/18,31/12/2019
4494-1,Star Wars,Mini Building Set,2004,Imperial Shuttle,,82,14.4,14.4,4.4,1/1/04,31/12/2004
75030-1,Star Wars,Microfighters,2014,Millennium Falcon Microfighter,1,94,14.097,12.192,4.5974,1/1/14,31/07/2015
4493-1,Star Wars,Mini Building Set,2004,Sith Infiltrator,,55,14.4,14.4,4.4,1/1/04,31/12/2004
75265-1,Star Wars,Microfighters,2020,T-16 Skyhopper vs Bantha Microfighters,2,198,26.2,14.1,4.8,1/1/20,31/12/2020
75239-1,Star Wars,Episode V,2019,Hoth Generator Attack,2,235,26.2,19.1,6.1,1/4/19,31/07/2020
30058-1,Star Wars,Episode I,2012,STAP,1,24,,,,,
75131-1,Star Wars,The Force Awakens,2016,Resistance Trooper Battle Pack,4,112,19.1008,14.097,4.5974,1/1/16,31/12/2017
75535-1,Star Wars,Buildable Figures,2018,Han Solo,,101,14.1,26.2,6.1,20/04/2018,31/12/2018
75528-1,Star Wars,Buildable Figures,2017,Rey,,85,14.097,26.2128,6.096,1/9/17,31/07/2018
75029-1,Star Wars,Microfighters,2014,AAT Microfighter,1,95,14.097,12.192,4.5974,1/1/14,31/12/2014
75197-1,Star Wars,The Last Jedi,2018,First Order Specialists Battle Pack,4,108,19.1,14.1,4.6,1/1/18,31/12/2018
40176-1,Star Wars,Rogue One,2017,Scarif Stormtrooper,1,25,14,14,0.9,1/7/17,31/12/2017
75130-1,Star Wars,Microfighters,2016,AT-DP Microfighter,1,76,14.097,12.192,4.5974,1/1/16,31/12/2016
75033-1,Star Wars,Microfighters,2014,Star Destroyer Microfighter,1,97,14.097,12.192,4.5974,1/1/14,31/12/2014
75246-1,Star Wars,Episode IV,2019,Death Star Cannon,2,159,26.2,14.1,6.1,4/10/19,31/12/2020
20021-1,Star Wars,The Clone Wars,2011,Bounty Hunter Assault Gunship,,81,,,,,
4486-1,Star Wars,Mini Building Set,2003,AT-ST & Snowspeeder,,76,11,14.4,4.4,1/1/03,31/12/2003
11912-1,Star Wars,Book Parts,2016,Parts for LEGO Star Wars: Build Your Own Adventure,1,73,,,,,
11920-1,Star Wars,Book Parts,2019,Star Wars: Build Your Own Adventure Galactic Missions parts,1,66,,,,,
30611-1,Star Wars,Promotional,2017,R2-D2,,70,20,19.5,0.9,1/1/17,31/12/2017
75247-1,Star Wars,Episode VI,2019,Rebel A-wing Starfighter,2,62,19.1,14.1,6.1,1/1/19,31/12/2019
75195-1,Star Wars,MicroFighters,2018,Ski Speeder vs. First Order Walker Microfighters,2,216,26.2,14.1,4.8,1/1/18,31/12/2018
9679-1,Star Wars,Planet Set,2012,AT-ST & Endor,1,65,14.1,19.1,8.8,1/6/12,31/07/2013
75268-1,Star Wars,Episode V,2020,Snowspeeder,2,91,26.2,14.1,6.1,1/1/20,31/07/2021
75264-1,Star Wars,Microfighters,2020,Kylo Ren's Shuttle Microfighter,1,72,14.1,12.2,4.6,1/1/20,31/12/2020
75310-1,Star Wars,The Clone Wars,2021,Duel on Mandalore,2,147,26.2,14.1,4.8,1/8/21,31/12/2022
75320-1,Star Wars,Episode V,2022,Snowtrooper Battle Pack,4,105,19.1,14.1,4.6,1/1/22,31/12/2023
4484-1,Star Wars,Mini Building Set,2003,X-Wing Fighter & TIE Advanced,,76,11,14.4,4.4,1/1/03,31/12/2003
6967-1,Star Wars,Episode III,2005,ARC  Fighter,,42,14,14,0,1/2/05,31/12/2005
75132-1,Star Wars,The Force Awakens,2016,First Order Battle Pack,4,88,19.1008,14.097,4.5974,1/1/16,31/12/2017
75129-1,Star Wars,Microfighters,2016,Wookiee Gunship Microfighter,1,84,14.097,12.192,4.5974,1/1/16,31/12/2017
75267-1,Star Wars,The Mandalorian,2020,Mandalorian Battle Pack,4,102,19.1,14.1,4.6,1/1/20,31/12/2021
75298-1,Star Wars,MicroFighters,2021, AT-AT vs. Tauntaun Microfighters,2,205,26.2,14.1,4.8,1/3/21,31/12/2022
9675-1,Star Wars,Planet Set,2012,Sebulba's Podracer & Tatooine,1,80,14.1,19.1,8.79,1/1/12,31/12/2012
75224-1,Star Wars,MicroFighters,2019,Sith Infiltrator Microfighter,1,92,14.1,12.2,4.6,1/1/19,31/12/2019
5002122-1,Star Wars,Minifig Pack,2014,TC-4,1,3,,,,,
75266-1,Star Wars,The Rise of Skywalker,2020,Sith Troopers Battle Pack,4,105,19.1,14.1,4.6,1/1/20,31/07/2021
6252770-1,Star Wars,Promotional,2018,Leia Organa,,18,,,,,
75115-1,Star Wars,Buildable Figures,2016,Poe Dameron,,102,14.097,26.2128,6.096,1/1/16,31/12/2016
75162-1,Star Wars,Microfighters,2017,Y-wing Microfighter,1,90,14.097,12.192,4.5974,1/1/17,31/12/2017
75297-1,Star Wars,The Force Awakens,2021,Resistance X-wing Starfighter,2,60,26.2,14.1,4.8,1/3/21,31/12/2022
20016-1,Star Wars,Mini Building Set,2010,Imperial Shuttle,,70,,,,,
75524-1,Star Wars,Buildable Figures,2017,Chirrut Îmwe,,87,14.097,26.2128,6.096,1/1/17,31/12/2017
30057-1,Star Wars,Episode I,2012,Anakin's Podracer,,38,,,,,
40288-1,Star Wars,Promotional,2018,BB-8,,48,17,17,1,15/04/2018,31/12/2018
75074-1,Star Wars,Microfighters,2015,Snowspeeder Microfighter,1,97,14.097,12.192,4.5974,1/1/15,31/12/2016
4485-1,Star Wars,Mini Building Set,2003,Sebulba's Podracer & Anakin's Podracer,,72,11,14.4,4.4,1/1/03,31/12/2003
40299-1,Star Wars,Solo,2018,Kessel Mine Worker,1,22,14,14,0.7,1/6/18,31/12/2018
75031-1,Star Wars,Microfighters,2014,TIE Interceptor Microfighter,1,92,14.097,12.192,4.5974,1/1/14,31/07/2015
30004-1,Star Wars,The Clone Wars,2009,Battle Droid on STAP,1,28,,,,,
75193-1,Star Wars,MicroFighters,2018,Millennium Falcon Microfighter,1,92,14.1,12.2,4.6,1/1/18,31/07/2019
75125-1,Star Wars,Microfighters,2016,Resistance X-wing Fighter Microfighter,1,87,14.097,12.192,4.5974,1/1/16,31/12/2017
75075-1,Star Wars,Microfighters,2015,AT-AT Microfighter,1,88,14.097,12.192,4.5974,1/1/15,31/12/2016
4491-1,Star Wars,Mini Building Set,2003,MTT,,99,14.4,14.4,4.4,1/6/03,1/6/04
30051-1,Star Wars,Mini Building Set,2010,Mini X-wing,,61,17,17,1,1/1/10,31/12/2011
75160-1,Star Wars,MicroFighters,2017,U-wing Microfighter,1,109,14.097,12.192,4.5974,1/1/17,31/12/2018
75128-1,Star Wars,MicroFighters,2016,TIE Advanced Prototype Microfighter,1,93,14.097,12.192,4.5974,1/1/16,31/12/2017
9674-1,Star Wars,Planet Set,2012,Naboo Starfighter & Naboo,1,56,14.1,19.1,8.79,1/1/12,31/12/2012
30005-1,Star Wars,Episode VI,2009,Imperial Speeder Bike,1,33,,,,,
75116-1,Star Wars,Buildable Figures,2016,Finn,,98,14.097,26.2128,6.096,1/1/16,31/12/2017
75223-1,Star Wars,MicroFighters,2019,Naboo Starfighter Microfighter,1,62,14.1,12.2,4.6,1/1/19,31/12/2019
911719-1,Star Wars,Magazine Gift,2017,Kanan Jarrus,1,6,,,,,
30241-1,Star Wars,The Clone Wars,2013,Mandalorian Fighter,,49,17,17,0.8,1/1/13,31/12/2013
75194-1,Star Wars,Microfighters,2018,First Order TIE Fighter Microfighter,1,91,14.1,12.2,4.6,1/1/18,31/07/2019
75263-1,Star Wars,Microfighters,2020,Resistance Y-wing Microfighter,1,86,14.1,12.2,4.6,1/1/20,31/12/2020
75163-1,Star Wars,Microfighters,2017,Krennic's Imperial Shuttle Microfighter,1,78,14.097,12.192,4.5974,1/1/17,31/12/2017
75113-1,Star Wars,Buildable Figures,2016,Rey,,84,14.097,26.2128,4.8006,1/1/16,31/12/2016
40300-1,Star Wars,Solo,2018,Han Solo Mudtrooper,1,22,14,14,0.6,1/6/18,31/12/2018
30059-1,Star Wars,The Clone Wars,2012,MTT,,51,,,,,
75525-1,Star Wars,Buildable Figures,2017,Baze Malbus,,148,14.097,26.2128,7.2136,1/1/17,31/12/2017
9678-1,Star Wars,Planet Set,2012,Twin-Pod Cloud Car & Bespin,1,78,14.1,19.1,8.8,1/6/12,31/07/2013
75161-1,Star Wars,MicroFighters,2017,TIE Striker Microfighter,1,88,14.097,12.192,4.5974,1/1/17,31/07/2018
30624-1,Star Wars,Episode IV,2019,Obi-Wan Kenobi - Collectable Minifigure,1,12,14,14,0.6,1/12/19,31/12/2019
75126-1,Star Wars,Microfighters,2016,First Order Snowspeeder Microfighter,1,91,14.097,12.192,4.5974,1/1/16,31/12/2017
30602-1,Star Wars,The Force Awakens,2016,First Order Stormtrooper,1,7,,,,,
30246-1,Star Wars,Episode VI,2014,Imperial Shuttle,,57,17,19.5,0.9,1/1/14,31/12/2014
30242-1,Star Wars,The Clone Wars,2013,Republic Frigate,,45,17,17,0.7,1/1/13,31/12/2013
30054-1,Star Wars,Episode VI,2011,AT-ST,,46,,,,,
30247-1,Star Wars,Episode III,2014,ARC-170 Starfighter,,54,17,19.5,0.7,1/1/14,31/12/2014
8033-1,Star Wars,The Clone Wars,2009,General Grievous' Starfighter,,44,17,14,0,1/1/09,31/12/2010
5002938-1,Star Wars,Rebels,2015,Stormtrooper Sergeant,1,5,,,,,
75295-1,Star Wars,MicroFighters,2021,Millennium Falcon Microfighter,1,101,14.1,12.2,4.6,1/1/21,31/12/2022
75321-1,Star Wars,Microfighters,2022,The Razor Crest Microfighter,1,98,14.1,12.2,4.6,1/1/22,31/12/2022
6966-1,Star Wars,Episode III,2005,Jedi Starfighter,,38,14,14,2,1/2/05,31/12/2005
5001621-1,Star Wars,Episode V,2013,Han Solo (Hoth),1,5,,,,,
911721-1,Star Wars,Magazine Gift,2017,Imperial Combat Driver,1,5,,,,,
8031-1,Star Wars,The Clone Wars,2008,V-19 Torrent,,66,17,17,1,1/6/08,31/12/2009
5002948-1,Star Wars,The Force Awakens,2015,C-3PO,1,3,,,,,
912169-1,Star Wars,Magazine Gift,2021,Emperor Palpatine,1,7,,,,,
30272-1,Star Wars,Episode VI,2015,A-Wing Starfighter,,58,17,19.5,0.9,1/1/15,31/12/2015
30050-1,Star Wars,The Clone Wars,2010,Republic Attack Shuttle,,54,17,17,1,1/1/10,31/12/2010
40268-1,Star Wars,Rogue One,2017,R3-M2,1,21,14,14,0.9,1/1/17,31/12/2017
912168-1,Star Wars,Magazine Gift,2021,Mandalorian,1,8,,,,,
30605-1,Star Wars,The Force Awakens,2016,Finn (FN-2187),1,5,,,,,
