number,theme,sub_theme,year,set_name,minifigs,pieces,width,height,depth,launch_date,exit_date
8007-1,Star Wars,Technic,2001,C-3PO,,341,24,33.6,6,1/1/01,31/12/2002
75286-1,Star Wars,Episode III,2020,General Grievous's Starfighter,3,487,38.2,26.2,7.1,1/8/20,31/12/2021
66515-1,Star Wars,Product Collection,2014,Microfighter Super Pack 3 in 1,,286,,,,,
75219-1,Star Wars,Solo,2018,Imperial AT-Hauler,5,829,48,37.8,7.05,1/8/18,31/07/2019
75175-1,Star Wars,Episode VI,2017,A-wing Starfighter,3,358,28.2,26.2,5.9,1/1/17,31/07/2018
75104-1,Star Wars,The Force Awakens,2015,Kylo Ren's Command Shuttle,6,1005,48.006,37.7952,7.0612,4/9/15,31/12/2017
8089-1,Star Wars,Episode V,2010,Hoth Wampa Cave,3,297,38.2,26.19,5.64,1/6/10,31/12/2011
6346098-1,Star Wars,Promotional,2020,Yoda's Lightsaber,,140,,,,,
75259-1,Star Wars,Episode V,2019,Snowspeeder – 20th Anniversary Edition,4,309,35.4,19.1,5.9,1/4/19,31/12/2019
3343-1,Star Wars,Minifig Pack,2000,Star Wars #4 - Battle Droid Commander and 2 Battle Droids,3,30,,,,,
9495-1,Star Wars,Episode IV,2012,Gold Leader's Y-wing Starfighter,3,458,48,28.2,6.1,1/1/12,31/12/2013
9498-1,Star Wars,The Clone Wars,2012,Saesee Tiin's Jedi Starfighter,3,244,28.2,26.2,6.4,1/6/12,31/12/2013
7128-1,Star Wars,Episode VI,1999,Speeder Bikes,3,93,14.4,14.4,4.8,1/3/99,31/12/2000
75153-1,Star Wars,Rogue One,2016,AT-ST Walker,3,449,28.194,26.2128,5.8928,30/09/2016,31/12/2017
7660-1,Star Wars,Episode I,2007,Naboo N-1 Starfighter with Vulture Droid,3,280,38.4,28.8,6,1/6/07,31/12/2008
8009-1,Star Wars,Technic,2002,R2-D2,,240,19.2,28.8,4.8,1/1/02,31/12/2003
75273-1,Star Wars,The Rise of Skywalker,2020,Poe Dameron's X-wing Fighter,4,761,48,28.2,6.1,1/1/20,31/12/2021
75335-1,Star Wars,Jedi: Fallen Order,2022,BD-1,1,1062,35.4,37.8,7.1,1/8/22,31/07/2024
6252808-1,Star Wars,Promotional,2018,Chewbacca,,22,,,,,
7103-1,Star Wars,Episode II,2002,Jedi Duel,2,82,19.2,14.4,4.8,23/04/2002,31/12/2003
7663-1,Star Wars,Episode I,2007,Sith Infiltrator,1,310,38.4,28.8,6,1/8/07,31/12/2008
7669-1,Star Wars,The Clone Wars,2008,Anakin's Jedi Starfighter,2,153,28.8,28.8,4.8,1/1/08,31/12/2009
7130-1,Star Wars,Episode V,1999,Snowspeeder,3,215,24,19.2,6,22/02/1999,31/12/2000
7957-1,Star Wars,The Clone Wars,2011,Sith Nightspeeder,3,214,28.19,26.19,4.6,1/6/11,31/12/2012
75142-1,Star Wars,Episode III,2016,Homing Spider Droid,5,310,35.4,19.1,5.9,1/1/16,31/07/2017
75024-1,Star Wars,The Clone Wars,2013,HH-87 Starhopper,3,362,38.2,26.2,5.7,1/8/13,31/12/2014
